Date,AGG,EEM,EFA,GLD,SPY,TLT,VNQ
2017-03-17,82.38729095458984,32.08063507080078,46.828277587890625,116.98999786376953,205.00929260253906,90.6860122680664,57.01073455810547
2017-03-20,82.50943756103516,32.45431900024414,46.73044967651367,117.51000213623047,204.78440856933594,91.07588195800781,56.96231460571289
2017-03-21,82.67743682861328,32.09687423706055,46.519752502441406,118.54000091552734,202.15505981445312,91.83259582519531,56.71337127685547
2017-03-22,82.79200744628906,32.251224517822266,46.52727508544922,118.83000183105469,202.6307373046875,92.19947052001953,56.682029724121094
2017-03-23,82.81489562988281,32.25935363769531,46.632625579833984,118.66999816894531,202.41452026367188,92.06954193115234,57.099979400634766
2017-03-24,82.74617767333984,32.34059143066406,46.76054382324219,118.86000061035156,202.26751708984375,92.3982925415039,57.03728103637695
2017-03-27,82.94470977783203,32.251224517822266,46.880950927734375,119.52999877929688,202.0599365234375,92.81867980957031,56.521820068359375
2017-03-28,82.75379180908203,32.34059143066406,47.106693267822266,119.04000091552734,203.5302276611328,92.19947052001953,56.765602111816406
2017-03-29,82.93708038330078,32.39744567871094,47.106693267822266,119.33000183105469,203.72052001953125,92.74987030029297,57.08604431152344
2017-03-30,82.78433990478516,32.22684860229492,46.941158294677734,118.47000122070312,204.3692626953125,92.00077056884766,57.19051742553711
2017-03-31,82.84545135498047,31.9993896484375,46.873435974121094,118.72000122070312,203.89352416992188,92.26830291748047,57.5318489074707
2017-04-03,83.15303039550781,32.1781120300293,46.80569839477539,119.3499984741211,203.53892517089844,93.19898223876953,57.699058532714844
2017-04-04,83.07656860351562,32.1943473815918,46.7906494140625,119.62000274658203,203.6686248779297,92.69342803955078,57.699058532714844
2017-04-05,83.16838073730469,32.09687423706055,46.542327880859375,119.62000274658203,203.06320190429688,92.97686004638672,57.78264236450195
2017-04-06,83.16069030761719,32.040000915527344,46.54984664916992,119.18000030517578,203.6340789794922,92.83899688720703,58.08914566040039
2017-04-07,82.97705078125,31.983142852783203,46.519752502441406,119.45999908447266,203.42649841308594,92.46363830566406,58.1727409362793
2017-04-10,83.08416748046875,31.853164672851562,46.46706771850586,119.45999908447266,203.5475616455078,92.892578125,58.534969329833984
2017-04-11,83.3213882446289,31.780057907104492,46.685306549072266,121.19000244140625,203.305419921875,93.77348327636719,58.93898010253906
2017-04-12,83.50506591796875,31.934404373168945,46.64767074584961,122.0199966430664,202.41452026367188,94.28671264648438,58.83449172973633
2017-04-13,83.6121597290039,31.796295166015625,46.3466682434082,122.5999984741211,201.0998992919922,94.57781219482422,58.70216751098633
2017-04-17,83.56625366210938,32.12937927246094,46.632625579833984,122.23999786376953,202.88160705566406,94.28671264648438,59.41269302368164
2017-04-18,83.9029769897461,31.723188400268555,46.42192077636719,122.81999969482422,202.27613830566406,95.5199966430664,59.572898864746094
2017-04-19,83.77285766601562,31.528207778930664,46.23379898071289,121.7300033569336,201.90423583984375,94.99910736083984,59.48929977416992
2017-04-20,83.64274597167969,31.91814613342285,46.60252380371094,121.95999908447266,203.5475616455078,94.63141632080078,59.49626541137695
2017-04-21,83.66571044921875,31.91814613342285,46.632625579833984,122.30999755859375,202.89892578125,94.63141632080078,59.280311584472656
2017-04-24,83.54328155517578,32.37308120727539,47.814048767089844,121.4800033569336,205.13034057617188,94.1641845703125,58.62553024291992
2017-04-25,83.26785278320312,32.65740966796875,48.152679443359375,120.25,206.3238983154297,93.03046417236328,58.869346618652344
